oragnisation chart;organigramme
box;case
diagram;diagram,schema,graphique
draft;brouillon,premier jet
flowchart;diagramme
graph;graphique
layout;plan,mise en page,presentation
mind map;carte heuristique,carte des idees
spidergramme;carte heuristique,carte des idees
network diagram;schema des reseaux
organization chart;organigramme
org chart;organigramme
outline;schema,grandes lignes
pie chart;graphique a secteurs,camembert
template;modele inforamtique
UML;langage de modelisation unifie
Unified Modeling Language;langage de modelisation unifie
unknows;inconnus
to chart;tracer
mind mapping;brainstorming
CEO;PDG
administrative;secretariat administratif
sales and purchasing manager;responsable des ventes et achats
financial coordinator;coordinateur financier
planning and budget;planification et budget
purchasing assistant;adjoint aux achat
financial analyst;analyste financier
innovation strategy;strategie et innovation
sales assistant;adjoint aux ventes
accountant;comptable
research&development;R&D
to benefit from;profiter de
to be acountable for;etre responsable de
to be in charge of;etre responsable de
accountant;comptable
accountancy;comptabilite
auditee;audite
auditor;auditeur
board of directors;conseil d'administration
chairman;president
chairwoman;presidente
clerk;employe de bureau
foreman;contremaitre
human ressources;ressources humaines
to implement;appliquer,executer,mettre en oeuvre
junior executive;cadre moyen
management;direction,gestion
managing director;directeur general
partner;associe
personnel manager;chef du personnel
procurement department;service des approvisionnements
production line;chaine de production
production manager;directeur de production
proxy;mandataire,delegue,fonde de pouvoir
purchasing manager;directeur des achats
Quality Assurance QA;assurance qualite
Quality Controller QC;controleur qualite
Quality Manager QM;directeur qualite
sales manager; directeur commercial
senior executive;cadre superieur
supervisor; contremaitre en usine
training manager;responsable des formations
warehouseman;magasinier
watchman;gardien de nuit
worker;ouvrier
laborer;ouvrier
workshop;atelier
positions;postes
meeting;reunion
seminar;seminaire
lecture;conference
convention;convention
to adress;s'occuper,aborder
to adjourn;suspendre
agenda;ordre du jour
Annual General Meeting;assemblee generae annuelle
to allocate;attribuer,affecter
asap;le plus tot possible,dans les plus brefs delais
a soon as possible;le plus tot possible,dans les plus brefs delais
ballot;scrutin,bulletin
boardroom;salle du conseil, salle de reunion
casting vote;vote decisif
closing remarks;phrase de conlusion
consensus;consensus
deadline;date limite,delai
grievance,grief
guest speaker;invite
to implement;executer,appliquer
