abroad;à l'étranger
accomodation;logement 
backspace;sac à dos
backpacker;randonneur
baggage locker;consigne à baggage
breathtaking view;une vue à couper le souffle
campsite;camping 
castle;château
city;centre ville
town center;centre ville 
ity hall; mairie , hôtel de ville
town hall; mairie , hôtel de ville
village hall; mairie , hôtel de ville
cruise;croisière
deckchair ;transat 
deluxe;luxueux 
full board;pension complète 
half board;demi-pension 
to get a suntan;bronzer
gift;cadeau 
guide;guide
to hitchhike;faire du stop
to be/feel homesike;avoir le mal du pays
high/peak season;haute saison
to hike;faire une randonnée
to rent ; louer
hitchhiker;autostoppeur
ID card;carte d'identité
identification;papiers d'identité
journey;voyage
trip;voyage
leisure;loisirs 
life jacket;gilet de sauvetage
life vest;gilet de sauvetage
luggage;bagages
mill;moulin 
museum;musée 
organized tours ; package tours ; circuits oragnisés
to pack ; faire ces bagages
passport;passeport
proof of identification;pièce d'identité
recliner;chaise longue
resort;station
seaside/ ski resort  ; station balnéaire, station de ski
route ; itinéraire
safe ; coffre-fort
sightseer ; touriste
tourist ; touriste
(to go) sightseeing ; (faire) du tourisme
shore ; cÙte
stay ; séjour
suitcase ; valise
trek ; marche (longue et difficile)
to tour; visiter, faire le tour
to unpack ; défaire ses bagages 
vacationer ; vacances, estivant
costum officers ; douaniers
wharf ; quai
arrival ; arrivée
(to) cancel ; annuler
cargo ; cargaison
carry-on bag /hand luggage ; bagage à main
departure ; depart
exit ; sortie
fare ; prix du billet
fine; amende
freight ; fret ; marchandises ; transport
one way ticket ; single ticket ; aller simple
overseas ; outre-Atlantique
(to) pack ; faire ses bagages
peak hours ; rush hours ; heure(s) de pointe
reduced fare  ; tarif réduit
round trip ; return ticket ; aller-retour
route ; itinéraire
schedule ; timetable ; horaire
shuttle ; navette
suitcase ; valise
transfer ; changement
trunk ; malle
aircraft ; avion
aisle seat ; place cÙté couloir
baggage cart ; baggage trolley
(to) board ; embarquer ; monter dans l'avion
boarding gate ; porte d'embarquement 
carousel ; carrousel
(to) check in ; enregistrer
check in counter/desk ; guichet/comptoir d'enregistrement
cockpit ; cabine de pilotage
connecting flight ; correspondance
customs ; douanes
delay ; retard
departure lounge ; salle d'embarquement
to disembark ; descendre de l'avion 
flight ; vol
jetlag ; fatigue du décalage horaire
jump seat ; strapontin 
to land ; atterir 
landing ; aterrisage
hijacking ; détournement d'avion
hijacker ; pirate de l'air
sheduled flight;vol régulier
security check;contrôle de sécurité 
stopover;escale
layover;escale
to take off;décoller
take off;décollage
tarmac;piste
runway;piste
time différence;décalage horaire
window seat ; place côté hublot
commuter train;train de banlieue
connection;correspondance
engine;locomotive 
platform;quai
ticket counter;guichet 
wagon;wagon
car;wagon
carriage;wagon
cabin;cabine 
crew;équipage 
cruise;croisière
deck;pont 
hold;suote
life boat;cannot de sauvetage
liner;paquebot
air-conditionning;climatisation
breakdown;panne 
car rental;location de voiture 
gearshift;levier de vitesse
highway;autoroute
freeway;autoroute
mileage ; kilométrage
rental car;voiture de location
tank;réservoir
tire;pneu
flat tire;pneu crevé
trailer;caravane
truck;camion
lorry;camion
trunk;coffre
wheel;roue, volant
to be at the wheel ; être au volant
windscrenn;pare-brise
windshield;pare-brise
conductor;contrôleur
line;ligne
pass;forfait, carte d'abonnement
roundabout;rond-point
stops ; stations 
subway; métro (US)
tub; métro (UK)
tram, street-car ;tramway
adjoining rooms;chambre communicantes
amenities;services
bellboy;bell hop ; bellman ; porter ; 
groom;chasseur, porteur
bunk bed;lits superposés
check in;arrivée
chek out;départ
complimentary breakfast;petit déjeuner inclus
continental breakfast;petit déjeuner européens (café+viennoiserie+jus de fruit)
cot;lit d'appoint (à roulettes)
currency exchange;change
deposit;arrhes
dry-cleaning service;nettoyage à sec
pressing;nettoyage à sec
front desk;accueil, réception
reception desk;accueil, réception
guest;client de l'hôtel
guest house;chambres d'hôtes ; hôtel pas cher
youh hostel;auberge (de jeunesse)
inn ; auberge;hôtel
king size bed;très grand lit
late charge;frais de dépassement d'horaire
laundry service;blanchisserie
(bed)linen;drap 
newsstand;journaux
pets allowed/not allowed;animaux permis /interdits
pillow case;taie d'oreiller
room service;service en chambre
room with double bed;chambre avec lit double
twin beds;lits jumeaux
room with single bed;chambre avec lit simple
safety deposit box ;safe ; coffre-fort
towels;serviettes
vacancy;chambres libres
no vacancy;complet
vending machines;distributeurs
wake-up call;réveil 
watchman;veilleur de nuit
