to pour;pleuvoir a verse
to melt;fondre
cloudy;nuageux
downpour;forte pluie,averse
thunder;tonnerre
drought;secheresse
thunder storm;orage 
storm;tempete
drizzle;bruine
flood;inondation
showers;averse
to thicken;s'epaissir
to abate;se calmer
sunny spells;eclaircis
mist;brume
a cold spell;vague de froid
a strong gust of wind;bourasque de vent
heat wave;vague de chaleur
to damage;nuire 
to deplete;réduire
ozone layer;couche d'ozone
ice cap shrinking;retrecissement de la couche de glace
to ruin;gacher,abimer 
to spoil; gacher,abimer
global warming;rechauffement climatique
melting;fonte des neiges 
thawing;fonte des neiges
to foul ; to taint;polluer
greenhouse effect;effet de serre 
to melt;fondre
to thaw;fondre
to pollute;polluer 
to lack;manquer de
to run short of;manquer de
to run short of;epuiser
use up;epuiser
stink;puanteur
stench;puanteur
chemicals;poduits chimiques
a shortage;une penurie de 
a lake of;une penurie de
to forbid;interdire 
to ban;interdire
exhaust fumes;les gazs d'echappements
to save;sauvegarder,economiser
oil field;chap ptrolifere
waste;dechets
rubbish;dechets 
garbage;dechets
to waste;gaspiller
to drill;forer
drilling;forage
fertilizer;engrais
hydrocarbon;hydrocarbone
to leak to crack;fuir
leakage;fuite
tar;goudron
lead;plomb
to capsize;chavirer
manure;purin,fumier
oil slick;maree noire 
sewage;eaux usees
organic food;nourriture bio
to disard;se debarrasser
to dump;deverser
dawn;aube,aurore
fall;automne
autumn;automne
overas;couvert
dusk;crepuscule
twilight;crepuscule
to turn foul;se gater
sunrise;lever du soleil
sunrise;coucher de soleil
weather foreast;prevision meteo
unsettled ;variable
cloudless;degage
clear;degage
mild;doux 
rainbow;arc-en-ciel
flood;inondation
flooding;inondation 
flash flood;crue subite
scattered showers;averses eparses
mist;condensation,buee 
flash of lightning ;   éclair ; la foudre
thunder ; tonnerre
a clap of thunder ; un coup de tonnerre
dripping ; dégoulinant
soggy ; soaked ; trempé
sqall ; bourrasque
twister ; tornado ; whirlwind ; tornade
to whirl ; tourbilloner
hurricane ; ouragan
tidal wave ; raz-de-marée
chill ; fraîcheur 
to chill ; refroidir
thre's a nip in the air ; il fait un froid piquant
to shiver ; frissonner 
sleet ; grésil ; neige fondue 
snowstorm ; blizard ; tempête de neige
(black) ice ; verglas
warmth ; chaleur (douce)
heat ; chaleur (forte)
warm ; (assez) chaud
stuffy ; muggy ; étouffant (pièce)
sultry ; stifling ; sweltering ; étouffant (temps , climet)
it's close ; it's muggy ; il fait lourd
it's boiling in there ; il fait une chaleur infernales ici
I'm boiling ; je créve de chaud
shade ; ombre
dumpster ; skip ; benne à ordures
natural disasters ; catastrophes naturelles
a bottle bank ; colleteur de verre 
waste colletion site ; dump ; déchetterie
sustainable development ; développement durable
sewer ; égout 
GMO (Genetically Modified Organism) ; OGM (Organisme Génétiquement Modifié)
to pollute , to foul ; to spoil ; to ruin ; polluer
wate ; refuse recycling ; recyclage des déchets
seletive refuse sorting ; tri sélectif
to sort ; trier
waste disposal ; traitement des déchets
