according to;selon
also;aussi
although;bien que
because;parce que
because of;à cause de
besides;de plus, d’ailleurs
but;mais, sauf
despite, in spite of;malgré
even if;même si, même à condition que
even though;même si, même malgré le fait que)
however;cependant
if;si
indeed;en effet
maybe, perhaps;peut-être
or;ou
otherwise;sinon;
provided that;pourvu que, à condition que
since;puisque
so;donc
so that;si bien que, de telle sorte que; pour que
so as to, in order to;pour, dans le but de
then;ensuite
thus;ainsi
too;également
unless;à moins que
unlike;contrairement à
whereas;alors que
yet;pourtant
