a bil;une addition
blinds;des stores
a bucket;un seau
an engine;un moteur
a fence;un obstacle
flour;la farine
gloves;des gants
a handbag;un sac a main
a handle;une poignee
a librarian;un bibliothecaire
a pipe;un tuyau,une conduite
a roof;un toit
a receipt;un reçu,ticket de caisse
a railing;un garde fou/une balustrade
a scarf;une echarpe/un foulard
seaweed;les algues
a sliding door;une porte coulissante
a story;un etage
a tablecloth;une nappe
a riverbank;le bord de l'eau
a truck;un camion 
a warehouse;un entrepot
to be in full bloom;etre en pleine floraison
to be on hands and knees;etre a quatre pattes
to take care of;s'occuper de
to climb down a ladder;descendre d'une echelle
cultivate;cultiver
to hang;accrocher,suspendre
to lean;se pencher
to be streched;etre etendu
to lift up;soulever
to mop;passer la serpilliere
to pick up;ramasser
to polish/to shine;astiquer/faire briller
to pump up the tires;gonfler les pneus d'une voiture
to remove;enlever
to ride;monter a cheval
to shake hands;se serrer la main
to stock;empiler
to pile;empiler
to step on;mettre le pied sur
to water;arroser
to withdraw;retirer de l'argent
